Game_Id,Game_Name,Tags,Month,Avg. Players,Gain,% Gain,Peak Players,Date,Hours_watched,Hours_streamed,Peak_viewers,Streamers
730,Counter-Strike 2,"FPS, Shooter, Multiplayer, Competitive, Action, Team-Based, eSports, Tactical, First-Person, PvP, Online Co-Op, Co-op, Strategy, Military, War, Difficult, Trading, Realistic, Fast-Paced, Moddable",Feb-22,634638.4,32262.13,5.36%,995163,02/2022,67421442.0,886058.0,995138.0,150560.0
730,Counter-Strike 2,"FPS, Shooter, Multiplayer, Competitive, Action, Team-Based, eSports, Tactical, First-Person, PvP, Online Co-Op, Co-op, Strategy, Military, War, Difficult, Trading, Realistic, Fast-Paced, Moddable",Jan-22,602376.27,55762.08,10.20%,991625,01/2022,40012823.0,1017881.0,436181.0,166711.0
730,Counter-Strike 2,"FPS, Shooter, Multiplayer, Competitive, Action, Team-Based, eSports, Tactical, First-Person, PvP, Online Co-Op, Co-op, Strategy, Military, War, Difficult, Trading, Realistic, Fast-Paced, Moddable",Dec-21,546614.19,-1547.48,-0.28%,950586,12/2021,45401155.0,914766.0,524450.0,94162.0
730,Counter-Strike 2,"FPS, Shooter, Multiplayer, Competitive, Action, Team-Based, eSports, Tactical, First-Person, PvP, Online Co-Op, Co-op, Strategy, Military, War, Difficult, Trading, Realistic, Fast-Paced, Moddable",Nov-21,548161.67,35725.82,6.97%,935593,11/2021,79981393.0,951598.0,1916027.0,97574.0
730,Counter-Strike 2,"FPS, Shooter, Multiplayer, Competitive, Action, Team-Based, eSports, Tactical, First-Person, PvP, Online Co-Op, Co-op, Strategy, Military, War, Difficult, Trading, Realistic, Fast-Paced, Moddable",Oct-21,512435.85,84.93,0.02%,864966,10/2021,70180423.0,956368.0,655467.0,97136.0
730,Counter-Strike 2,"FPS, Shooter, Multiplayer, Competitive, Action, Team-Based, eSports, Tactical, First-Person, PvP, Online Co-Op, Co-op, Strategy, Military, War, Difficult, Trading, Realistic, Fast-Paced, Moddable",Sep-21,512350.92,268.96,0.05%,942519,09/2021,61533744.0,1007538.0,725327.0,105073.0
730,Counter-Strike 2,"FPS, Shooter, Multiplayer, Competitive, Action, Team-Based, eSports, Tactical, First-Person, PvP, Online Co-Op, Co-op, Strategy, Military, War, Difficult, Trading, Realistic, Fast-Paced, Moddable",Aug-21,512081.96,6014.6,1.19%,802544,08/2021,49822431.0,1099409.0,378388.0,114949.0
730,Counter-Strike 2,"FPS, Shooter, Multiplayer, Competitive, Action, Team-Based, eSports, Tactical, First-Person, PvP, Online Co-Op, Co-op, Strategy, Military, War, Difficult, Trading, Realistic, Fast-Paced, Moddable",Jul-21,506067.36,-43279.72,-7.88%,763523,07/2021,58658860.0,1107453.0,696447.0,112617.0
730,Counter-Strike 2,"FPS, Shooter, Multiplayer, Competitive, Action, Team-Based, eSports, Tactical, First-Person, PvP, Online Co-Op, Co-op, Strategy, Military, War, Difficult, Trading, Realistic, Fast-Paced, Moddable",Jun-21,549347.08,-110541.81,-16.75%,929940,06/2021,55332904.0,1162096.0,363798.0,116511.0
730,Counter-Strike 2,"FPS, Shooter, Multiplayer, Competitive, Action, Team-Based, eSports, Tactical, First-Person, PvP, Online Co-Op, Co-op, Strategy, Military, War, Difficult, Trading, Realistic, Fast-Paced, Moddable",May-21,659888.89,-63457.63,-8.77%,1087197,05/2021,75670449.0,1380646.0,551182.0,140856.0
