Topic,Topic_Name,Probability
1,1_survival_livonia_survivor_year,[0.34317358 0.43454568 0.20011762 0.02216312]
-1,-1_player_server_issue_animation,[0.15060735 0.15244952 0.08204387 0.00996145]
1,1_survival_livonia_survivor_year,[0.30371305 0.32739028 0.17774724 0.01955151]
1,1_survival_livonia_survivor_year,[0.05321105 0.73418957 0.01859171 0.00387847]
0,0_player_animation_server_issue,[1.00000000e+000 1.96020191e-308 2.89264335e-308 2.95145638e-308]
1,1_survival_livonia_survivor_year,[0.31035633 0.34073681 0.2169515  0.01856847]
0,0_player_animation_server_issue,[0.80063413 0.02679549 0.0466285  0.01685718]
1,1_survival_livonia_survivor_year,[0.05478364 0.73329171 0.01900057 0.00400058]
1,1_survival_livonia_survivor_year,[9.25850478e-308 1.00000000e+000 3.21086147e-308 6.76270406e-309]
1,1_survival_livonia_survivor_year,[0.1074038  0.61735334 0.03835996 0.00777985]
1,1_survival_livonia_survivor_year,[0.10551462 0.40989618 0.03820861 0.00761407]
1,1_survival_livonia_survivor_year,[0.10065768 0.78409154 0.03517034 0.0073365 ]
0,0_player_animation_server_issue,[0.5098413  0.02549499 0.0373529  0.03568843]
-1,-1_player_server_issue_animation,[0.12240117 0.06702454 0.05677867 0.00833513]
-1,-1_player_server_issue_animation,[0.11902395 0.0638484  0.05455768 0.00812314]
-1,-1_player_server_issue_animation,[0.11845727 0.06316309 0.05423166 0.00808666]
-1,-1_player_server_issue_animation,[0.11908191 0.06386046 0.05458775 0.00812656]
-1,-1_player_server_issue_animation,[0.11723794 0.06153486 0.0535612  0.00800668]
-1,-1_player_server_issue_animation,[0.1168911  0.06160015 0.05321881 0.00798727]
1,1_survival_livonia_survivor_year,[0.18171161 0.71721219 0.0887123  0.01236391]
-1,-1_player_server_issue_animation,[0.1189908  0.06380394 0.05463281 0.00812146]
-1,-1_player_server_issue_animation,[0.25530458 0.01641605 0.03009066 0.01172904]
0,0_player_animation_server_issue,[0.59099678 0.03430375 0.05978421 0.02397026]
1,1_survival_livonia_survivor_year,[0.25420899 0.57276155 0.15632991 0.01669955]
0,0_player_animation_server_issue,[0.50263388 0.02514483 0.03685944 0.03637646]
1,1_survival_livonia_survivor_year,[0.21225499 0.32504376 0.08507611 0.0148593 ]
